person_id;person_trip_id;leg_index;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;euclidean_distance;origin_link_id;destination_link_id
174532;0;1;716356.0952848629;5354651.942987543;714752.2203729621;5351151.30378424;14304.0;809.0;5550.553308027707;5550.553308027707;car;3850.570031141329;20250;32863
251657;0;0;704618.7908079501;5356321.17643548;704618.7908079501;5356321.17643548;15012.0;105.0;0.0;131.64524997362665;walk;0.0;28047;28047
215560;0;0;704091.7152010495;5375957.685777579;704091.7152010495;5375957.685777579;15132.0;0.0;0.0;0.0;walk;0.0;56719;56719
174532;0;2;714752.2203729621;5351151.30378424;714752.2203729621;5351151.30378424;15113.0;27.0;0.0;34.139325926782575;walk;0.0;32863;32863
132388;0;0;697435.2826425079;5354127.697040688;697435.2826425079;5354127.697040688;15103.0;40.0;0.0;50.85860067826073;walk;0.0;44896;44896
324466;0;1;681755.5890532098;5398146.891640302;685275.3207541753;5398322.184723091;14603.0;558.0;4800.363513569285;4800.363513569285;car;3524.094055449672;40524;58113
155073;0;0;700860.6374653123;5358386.591295779;700860.6374653123;5358386.591295779;15124.0;39.0;0.0;49.50722619567472;walk;0.0;18096;18096
272802;0;0;715289.0412373277;5347315.472998854;715289.0412373277;5347315.472998854;15149.0;27.0;0.0;33.90562923838725;walk;0.0;6003;6003
324466;0;2;685275.3207541753;5398322.184723091;685275.3207541753;5398322.184723091;15161.0;23.0;0.0;29.808835159480356;walk;0.0;58113;58113
144957;0;0;715414.4128032291;5353062.763297169;715414.4128032291;5353062.763297169;15123.0;64.0;0.0;80.73753220902437;walk;0.0;77492;77492
127655;0;0;703403.0748593387;5365137.531691523;702579.297629222;5364795.72740669;14944.0;260.0;0.0;1085.9796968006513;bicycle;891.873922698226;54841;27276
158426;0;0;694720.4653699785;5362397.002349658;694720.4653699785;5362397.002349658;15176.0;44.0;0.0;55.24668907154432;walk;0.0;45334;45334
