person_id;activity_index;purpose;start_time;end_time;x;y;facility_id;link_id
226618;0;home;-Infinity;52498.0;697705.059251;5358886.198168;home_226618;69224
106865;3;work;52499.0;65913.0;701787.687848;5366178.132056;work_4521;29607
74773;2;home;52500.0;53914.0;716240.680541;5371899.476718;home_74773;67530
277257;3;leisure;52503.0;57117.0;703179.1499;5365899.379576;sec_2500;54778
65254;3;leisure;52504.0;63035.0;691172.448438;5402346.347663;sec_2985;49736
414995;1;other;52505.0;57309.0;717980.440556;5351177.363345;sec_4365;3243
241137;2;leisure;52512.0;58954.0;716178.61026;5351309.371727;sec_2195;45182
425967;0;home;-Infinity;52514.0;702644.651316;5363416.943491;home_425967;106
260246;3;leisure;52514.0;67992.0;684994.677285;5380246.208155;sec_2901;13827
222921;3;work;52514.0;64212.0;711178.536587;5369261.583539;work_5935;16433
153909;2;home;52514.0;65607.0;704450.340389;5363609.025077;home_153909;1134
90838;3;work;52516.0;68916.0;734713.607043;5350465.23994;work_606;14544
369412;0;home;-Infinity;52517.0;686597.241501;5391128.526493;home_369412;67709
411922;0;home;-Infinity;52518.0;738356.611878;5350289.239227;home_411922;46104
347612;2;home;52519.0;Infinity;703427.419282;5367693.104058;home_347612;59898
416581;3;leisure;52521.0;59990.0;724556.917942;5343548.010758;sec_2256;69093
345575;0;home;-Infinity;52523.0;698388.922601;5351078.215808;home_345575;42562
289155;3;shop;52523.0;56052.0;698636.35895;5403822.850502;sec_1805;48199
219768;2;home;52523.0;53156.0;704158.238625;5363680.976288;home_219768;1198
18559;2;home;52523.0;Infinity;693105.448336;5356297.897625;home_18559;20099
399892;2;leisure;52524.0;53130.0;719074.983335;5359607.665511;sec_2231;22386
132867;1;leisure;52526.0;65335.0;704024.352235;5350393.871603;sec_2281;21941
22146;0;home;-Infinity;52528.0;708487.874039;5382121.876065;home_22146;78527
272159;0;home;-Infinity;52529.0;735615.2987;5359512.403061;home_272159;13468
266091;7;home;52529.0;62242.0;733219.754882;5353587.596024;home_266091;16891
434373;3;leisure;52531.0;59052.0;701278.656155;5354190.644513;sec_2598;21576
349782;1;shop;52531.0;52975.0;703264.208037;5364748.324773;sec_1375;8981
27829;0;home;-Infinity;52533.0;681889.480333;5392376.698254;home_27829;55684
238581;0;home;-Infinity;52533.0;680894.626466;5392037.700206;home_238581;67226
231487;3;leisure;52533.0;57302.0;694457.493696;5378928.643936;sec_2976;16431
70430;0;home;-Infinity;52535.0;719887.903075;5343649.640442;home_70430;366
401514;0;home;-Infinity;52535.0;704634.06473;5365215.562698;home_401514;51579
144532;1;work;52536.0;71588.0;716757.797427;5357300.122212;work_2041;7132
334696;0;home;-Infinity;52538.0;738427.15458;5349683.248804;home_334696;37838
178219;1;other;52538.0;57332.0;711833.379219;5351714.114229;sec_5524;27227
382236;0;home;-Infinity;52543.0;691111.106828;5363312.767624;home_382236;73573
332128;0;home;-Infinity;52544.0;692915.05439;5394327.815976;home_332128;47576
98054;2;shop;52544.0;58232.0;715841.799373;5353068.887118;sec_779;60770
260594;3;education;52544.0;61725.0;701519.677479;5365288.06673;edu_396;2002
147356;3;work;52544.0;72133.0;726559.380641;5349132.068319;work_2346;74466
381703;1;shop;52545.0;Infinity;714621.753975;5377177.848909;sec_1724;67023
371381;7;other;52547.0;55669.0;715538.155118;5346928.086356;sec_6183;362
152560;3;work;52547.0;70211.0;693951.041916;5353705.304267;work_4015;30412
369587;1;other;52548.0;55781.0;726281.540139;5360392.516335;sec_2224;19220
138376;4;home;52548.0;69926.0;686236.619239;5378113.061976;home_138376;40677
195671;2;home;52550.0;Infinity;681341.110213;5394549.53469;home_195671;52112
339703;1;education;52552.0;67407.0;702225.456503;5363889.636781;edu_296;44242
205248;5;work;52552.0;61441.0;730367.965383;5349132.538013;work_515;5664
118982;0;home;-Infinity;52553.0;729106.500009;5342040.411788;home_118982;24399
359566;4;leisure;52553.0;64894.0;682036.35096;5385405.244645;sec_3074;64442
