iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
37;06:30:12;06:30:12;06:30:12;06:30:12;06:30:15;06:30:15;;;06:30:15;06:30:15;06:30:16;06:30:16;06:44:30;06:44:30;06:44:31;06:44:31;06:44:31;06:44:31;06:44:34;06:44:34;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:14;00:00:01;00:00:00;00:00:02;00:14:21
38;06:44:34;06:44:34;06:44:34;06:44:34;06:44:38;06:44:38;;;06:44:38;06:44:38;06:44:38;06:44:38;06:59:00;06:59:00;06:59:01;06:59:01;06:59:01;06:59:01;06:59:04;06:59:04;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:21;00:00:01;00:00:00;00:00:02;00:14:29
39;06:59:04;06:59:04;06:59:04;06:59:04;06:59:07;06:59:07;;;06:59:07;06:59:07;06:59:08;06:59:08;07:13:36;07:13:36;07:13:37;07:13:37;07:13:37;07:13:37;07:13:40;07:13:40;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:28;00:00:01;00:00:00;00:00:02;00:14:36
40;07:13:40;07:13:40;07:13:40;07:13:40;07:13:44;07:13:44;;;07:13:44;07:13:44;07:13:44;07:13:44;07:27:29;07:27:29;07:27:30;07:27:30;07:27:30;07:27:30;07:27:33;07:27:33;;00:00:00;00:00:03;;00:00:00;00:00:00;00:13:44;00:00:01;00:00:00;00:00:02;00:13:53
41;07:27:33;07:27:33;07:27:33;07:27:33;07:27:37;07:27:37;;;07:27:37;07:27:37;07:27:37;07:27:37;07:41:30;07:41:30;07:41:32;07:41:32;07:41:32;07:41:32;07:41:34;07:41:34;;00:00:00;00:00:03;;00:00:00;00:00:00;00:13:52;00:00:01;00:00:00;00:00:02;00:14:01
42;07:41:34;07:41:34;07:41:34;07:41:34;07:41:38;07:41:38;;;07:41:38;07:41:38;07:41:38;07:41:38;07:56:08;07:56:08;07:56:09;07:56:09;07:56:09;07:56:09;07:56:12;07:56:12;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:29;00:00:01;00:00:00;00:00:02;00:14:37
43;07:56:12;07:56:12;07:56:12;07:56:12;07:56:16;07:56:16;;;07:56:16;07:56:16;07:56:16;07:56:16;08:10:18;08:10:18;08:10:19;08:10:19;08:10:19;08:10:19;08:10:22;08:10:22;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:02;00:00:01;00:00:00;00:00:02;00:14:10
44;08:10:22;08:10:22;08:10:22;08:10:22;08:10:26;08:10:26;;;08:10:26;08:10:26;08:10:27;08:10:27;08:24:31;08:24:31;08:24:32;08:24:32;08:24:32;08:24:32;08:24:35;08:24:35;;00:00:00;00:00:04;;00:00:00;00:00:00;00:14:04;00:00:01;00:00:00;00:00:02;00:14:12
45;08:24:35;08:24:35;08:24:35;08:24:35;08:24:39;08:24:39;;;08:24:39;08:24:39;08:24:39;08:24:39;08:38:37;08:38:37;08:38:38;08:38:38;08:38:38;08:38:38;08:38:41;08:38:41;;00:00:00;00:00:04;;00:00:00;00:00:00;00:13:57;00:00:01;00:00:00;00:00:02;00:14:06
46;08:38:41;08:38:41;08:38:41;08:38:41;08:38:45;08:38:45;;;08:38:45;08:38:45;08:38:46;08:38:46;08:52:54;08:52:54;08:52:56;08:52:56;08:52:56;08:52:56;08:52:58;08:52:58;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:08;00:00:01;00:00:00;00:00:02;00:14:17
47;08:52:58;08:52:58;08:52:58;08:52:58;08:53:02;08:53:02;;;08:53:02;08:53:02;08:53:03;08:53:03;09:07:14;09:07:14;09:07:15;09:07:15;09:07:15;09:07:15;09:07:18;09:07:18;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:10;00:00:01;00:00:00;00:00:02;00:14:19
48;09:07:18;09:07:18;09:07:18;09:07:18;09:07:22;09:07:22;;;09:07:22;09:07:22;09:07:22;09:07:22;09:21:30;09:21:30;09:21:32;09:21:32;09:21:32;09:21:32;09:21:34;09:21:34;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:08;00:00:01;00:00:00;00:00:02;00:14:16
49;09:21:34;09:21:34;09:21:35;09:21:35;09:21:38;09:21:38;;;09:21:38;09:21:38;09:21:39;09:21:39;09:35:54;09:35:54;09:35:55;09:35:55;09:35:55;09:35:55;09:35:58;09:35:58;;00:00:00;00:00:03;;00:00:00;00:00:00;00:14:15;00:00:01;00:00:00;00:00:02;00:14:23
50;09:35:59;09:35:59;09:35:59;09:35:59;09:36:02;09:36:02;;;09:36:02;09:36:02;09:36:03;09:36:03;09:52:34;09:52:34;09:52:35;09:52:35;09:52:35;09:52:35;09:52:45;09:52:45;;00:00:00;00:00:03;;00:00:00;00:00:00;00:16:31;00:00:01;00:00:00;00:00:09;00:16:46
