person_id;operator_id;main_mode;vehicle_id;origin_link_id;origin_x;origin_y;destination_link_id;destination_x;destination_y;departure_time;arrival_time;waiting_time;distance
83159;drt;drt;NaN;46500;704666.8246866553;5380839.099637124;null;NaN;NaN;18370.0;NaN;NaN;0.0
173381;drt;drt;NaN;9100;735269.9616343922;5352679.1483893655;null;NaN;NaN;18373.0;NaN;NaN;0.0
275350;drt;drt;NaN;14249;700296.7840120036;5384418.237222228;null;NaN;NaN;18520.0;NaN;NaN;0.0
150694;drt;drt;NaN;57959;729141.650883021;5367487.882172521;null;NaN;NaN;18532.0;NaN;NaN;0.0
166990;drt;drt;NaN;54336;685013.9262420193;5380084.820540941;null;NaN;NaN;18557.0;NaN;NaN;0.0
366104;drt;drt;NaN;5878;692502.2744261051;5404419.065516466;null;NaN;NaN;18647.0;NaN;NaN;0.0
348166;drt;drt;NaN;48145;703244.0689571357;5364692.173898539;null;NaN;NaN;18682.0;NaN;NaN;0.0
99954;drt;drt;NaN;10095;710755.0585811338;5350918.997085979;null;NaN;NaN;18697.0;NaN;NaN;0.0
299099;drt;drt;NaN;56437;715352.0795457667;5355573.313803222;null;NaN;NaN;18716.0;NaN;NaN;0.0
271565;drt;drt;NaN;71497;731123.4284552471;5359259.7319859555;null;NaN;NaN;18764.0;NaN;NaN;0.0
273306;drt;drt;NaN;16578;711423.038589485;5353827.954410164;null;NaN;NaN;18799.0;NaN;NaN;0.0
94528;drt;drt;NaN;49777;697590.488511865;5354173.787358675;null;NaN;NaN;18822.0;NaN;NaN;0.0
199957;drt;drt;NaN;8893;684311.5619628866;5369425.840352287;null;NaN;NaN;18925.0;NaN;NaN;0.0
111904;drt;drt;NaN;15818;684595.700697053;5377555.376197109;null;NaN;NaN;18928.0;NaN;NaN;0.0
116844;drt;drt;NaN;52525;714831.7550902007;5354588.334837863;null;NaN;NaN;18984.0;NaN;NaN;0.0
90101;drt;drt;NaN;57024;703203.7124599513;5356877.489201088;null;NaN;NaN;19054.0;NaN;NaN;0.0
108596;drt;drt;NaN;57270;696160.3993307682;5360081.813449385;null;NaN;NaN;19131.0;NaN;NaN;0.0
41794;drt;drt;NaN;32680;683355.5964190369;5398526.954304973;null;NaN;NaN;19138.0;NaN;NaN;0.0
107717;drt;drt;NaN;43559;716850.7663419707;5373734.081357975;null;NaN;NaN;19164.0;NaN;NaN;0.0
190300;drt;drt;NaN;71094;717058.867201986;5372362.81382092;null;NaN;NaN;19181.0;NaN;NaN;0.0
163093;drt;drt;NaN;28756;713593.7806485952;5376694.355963806;null;NaN;NaN;19282.0;NaN;NaN;0.0
224974;drt;drt;NaN;78270;706499.4231053374;5381095.922528589;null;NaN;NaN;19346.0;NaN;NaN;0.0
321744;drt;drt;NaN;72597;705406.7899026807;5375161.662909389;null;NaN;NaN;19385.0;NaN;NaN;0.0
