person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance;origin_link_id;destination_link_id
368116;1;691728.8243832227;5399258.463516083;691815.7673288966;5395911.905587872;74835.0;905.0;4208.584973833824;4665.344585352126;car;leisure;home;true;3347.6871183960297;39216;21765
118689;5;728777.3568545682;5359729.035547946;726459.6878586783;5360174.400798573;75055.0;690.0;6245.876512345238;6379.923867803228;car;leisure;home;true;2360.071986397034;64666;37669
157676;5;703156.9022483123;5354548.036990508;700002.580274387;5360914.862713868;74301.0;1445.0;12483.401025539386;12571.601893957644;car;home;leisure;false;7105.365360543959;29856;16338
74392;3;711505.1171704282;5369134.491963929;716781.0091469462;5371819.292995745;71514.0;4239.0;6915.8636494899;8577.304735080743;pt;home;leisure;false;5919.729109370822;62612;14429
260272;2;684843.3706463358;5378220.900184436;684419.0600178253;5378119.00054403;75521.0;233.0;643.6901032085644;743.7943422192274;car;leisure;home;true;436.37489178651913;64536;11869
255597;1;697029.3773905383;5353906.743917763;697055.1544630516;5355400.287719961;75090.0;665.0;3774.299087891577;3982.09558131724;car;work;home;true;1493.7662288830468;65093;38426
367365;1;692049.8213305285;5395289.319483656;690850.2721454446;5395125.463586705;75455.0;324.0;1590.8602532263023;1673.6569895478015;car;leisure;home;true;1210.6886480020796;78952;70554
76501;1;701797.6753061258;5373980.3659677;699358.4063224009;5373664.554369644;74996.0;786.0;0.0;3277.6256375979647;bicycle;leisure;home;true;2459.6280492035526;80878;28924
79853;2;692525.1482665814;5395712.608210439;692532.8775289275;5396412.116469916;75092.0;692.0;0.0;865.8506112277502;walk;leisure;home;true;699.5509606691203;34059;68134
402810;8;687025.7923745774;5366642.916293454;682486.6341665967;5368175.591752153;74794.0;990.0;10255.792414329277;10347.337705771324;car;home;leisure;false;4790.934282452136;48689;21249
124520;3;708451.892706819;5367952.249922408;695219.589488714;5353444.98219794;62805.0;12982.0;44049.694993200814;48226.37638651361;pt;work;leisure;false;19635.545963513378;80654;42076
95640;2;685832.5072473022;5379711.580369433;685108.4269883912;5379260.770035273;75520.0;275.0;980.4749092640272;1096.3221269511512;car;home;leisure;false;852.9491067643364;65986;71926
386201;4;704237.6456293323;5365079.961210934;703737.9353914;5376233.458320316;74537.0;1261.0;13718.443138907573;13809.054936217251;car;shop;leisure;false;11164.68575871598;79026;36343
245373;2;712019.1404133791;5354216.8208084395;716103.4789947153;5351007.948699979;74518.0;1282.0;7582.243555972514;7696.468406095952;car;home;leisure;false;5194.1006782162485;53009;45138
310645;3;705001.280530153;5364244.369673514;704762.6247733708;5364317.077643103;75622.0;184.0;302.9325011049242;371.05373301661007;car;shop;home;true;249.48550877163734;33112;42925
136130;5;681486.9538363434;5392139.022644948;679072.2917918207;5385900.967070942;74996.0;812.0;7868.715581563141;7933.872433436828;car;shop;home;true;6689.090381632684;12275;74530
130820;4;705130.8505710782;5366723.556264635;692457.976691357;5367791.925765071;72293.0;3515.0;28609.79446387743;29316.446397977874;pt;leisure;leisure;false;12717.827871172944;27573;37873
378987;7;693253.2363887858;5360268.983501144;693217.1075516467;5360194.922290781;75696.0;115.0;0.0;144.39585775302962;walk;leisure;home;true;82.40361492970169;264;71566
124393;6;701977.8680016464;5386273.675509288;701977.8680016464;5386273.675509288;75825.0;0.0;0.0;0.0;walk;leisure;leisure;false;0.0;68168;68168
153241;3;690899.2682599017;5357816.536727854;689387.6350739455;5358550.659231286;75445.0;383.0;2200.0105445894933;2239.860223718202;car;other;home;true;1680.4674168006138;53018;50409
300327;7;706324.3905289606;5347561.947214976;709003.0893106314;5345767.889167696;75410.0;419.0;4218.820398471537;4313.228639728873;car;home;other;false;3223.9837840680234;3811;39597
170044;1;690161.1815107071;5407244.6690770965;692970.2401201552;5405303.769829139;74625.0;1212.0;4274.112700103453;4924.944614305476;car;work;home;true;3414.366729283139;70289;73501
254371;9;717118.8827537682;5372670.952644599;717300.746437836;5371813.284565261;74948.0;890.0;0.0;1113.6870846577788;walk;leisure;home;true;876.7376653812048;14398;15569
81706;5;727411.0952030972;5339818.923812363;727070.0586288115;5344343.375871865;71348.0;4503.0;0.0;5629.299102803256;walk;other;leisure;false;4537.286896784294;55376;64891
81706;6;727070.0586288115;5344343.375871865;727070.0586288115;5344343.375871865;75851.0;11.0;0.0;13.919422307699104;walk;leisure;home;true;0.0;64891;64891
80845;4;724801.5029497247;5358743.119724996;712869.8874440518;5358303.993256003;74296.0;1569.0;19019.25564387185;19097.721597690354;car;leisure;leisure;false;11939.693489825619;37881;75168
144067;1;717307.4823715367;5357807.371048307;715781.981315244;5354102.0951923095;75226.0;639.0;4124.230268485435;4232.517076707955;car;work;home;true;4007.0216672472147;81095;39832
164659;3;670739.9338132447;5370778.277907465;671136.8780198924;5370996.8203642005;75697.0;169.0;821.3341406670453;871.7213246457994;car;other;home;true;453.12857842703863;51698;51442
273260;3;703911.2739563126;5358732.834118765;705770.6521372425;5355192.631810561;74549.0;1319.0;11907.905560578089;11993.543961467933;car;shop;home;true;3998.789767258512;51097;44214
23158;0;711027.1003175601;5381437.8343840595;711642.699498377;5381389.057893752;75666.0;206.0;0.0;858.9704797711654;bicycle;education;home;true;617.528539768936;62717;28143
