person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;departure_id;access_area_id;egress_area_id;transit_mode
155475;0;3;410688.link:10330;1339.link:42050;5468;698978;191495_07:14:00;96974.0;41520.0;bus
276048;0;1;650649.link:53698;281348.link:41783;12526;889712;1596751_07:05:00;294168.0;80511.0;bus
20197;0;1;600692.link:33104;502285.link:28749;3583;824716;824716_07:07:00;554130.0;423090.0;bus
186800;0;3;271923.link:12230;492912.link:71416;9289;1673844;608361_07:15:00;96974.0;666332.0;bus
195250;0;1;522437.link:21612;609932.link:13589;24325;1701259;1701259_06:14:00;239072.0;96974.0;bus
40131;0;1;566464.link:47074;404582.link:17981;18695;1246412;1246412_07:01:00;487641.0;62301.0;bus
249869;0;3;53851.link:61582;674010.link:69003;966;9465;1090067_07:17:00;96974.0;91217.0;bus
143254;0;1;287216.link:27977;258128.link:74021;10159;444410;444410_07:13:00;548276.0;597954.0;bus
67787;0;1;636097.link:40223;258128.link:74021;10159;444410;444410_07:13:00;255572.0;597954.0;bus
318260;0;1;8923.link:63937;435836.link:13589;7839;372860;1634953_06:27:00;94447.0;96974.0;bus
14907;0;1;223969.link:75749;111708.link:72838;16784;348850;1523704_06:36:00;405626.0;220715.0;bus
195245;0;3;302634.link:31269;243521.link:10330;10977;1382063;65936_07:01:00;109112.0;96974.0;bus
104805;0;1;484547.link:72867;243521.link:10330;10977;1382063;65936_07:01:00;506935.0;96974.0;bus
60860;0;1;664317.link:53123;302945.link:14404;22560;890601;878693_07:07:00;190023.0;395083.0;bus
257430;0;1;398674.link:14404;435836.link:13589;7839;372860;1634953_06:27:00;395083.0;96974.0;bus
103212;0;1;629769.link:12501;662009.link:37849;16059;258178;3237_07:12:00;649912.0;96974.0;rail
102927;0;1;629769.link:12501;662009.link:37849;16059;258178;3237_07:12:00;649912.0;96974.0;rail
271592;0;3;108621.link:56817;635139.link:25290;23106;57185;1509127_06:53:00;240045.0;609285.0;bus
133662;0;1;179418.link:39116;281776.link:13586;10221;1120786;1120786_06:30:00;22170.0;96974.0;bus
224974;0;5;514565.link:14296;593729.link:46549;3794;1432724;695782_07:12:00;485025.0;93016.0;bus
123638;0;3;629769.link:12501;662009.link:37849;16059;258178;3237_07:12:00;649912.0;96974.0;rail
29196;0;1;149488.link:7334;483646.link:73017;14914;618201;708003_07:13:00;519629.0;473203.0;bus
267218;0;1;479467.link:70733;477080.link:42859;7195;1396924;1396924_07:10:00;486154.0;240045.0;rail
174998;0;1;458446.link:37928;477080.link:42859;7195;1396924;1396924_07:10:00;42579.0;240045.0;rail
273882;0;1;276861.link:49024;477080.link:42859;7195;1396924;1396924_07:10:00;195798.0;240045.0;rail
72815;0;1;162037.link:66392;190376.link:81240;22934;948975;1380967_07:09:00;538556.0;303334.0;bus
77362;0;1;339592.link:17224;589121.link:76919;21536;933989;933989_07:20:00;176484.0;576695.0;bus
67793;0;1;258128.link:74021;646642.link:77205;10159;444410;444410_07:13:00;597954.0;404134.0;bus
145424;0;1;458446.link:37928;477080.link:42859;7195;1396924;1396924_07:10:00;42579.0;240045.0;rail
200102;0;1;552868.link:60454;406280.link:54742;24134;894861;669318_06:49:00;539086.0;493871.0;bus
13664;0;1;77588.link:55679;588652.link:55411;24400;910485;1083555_07:11:00;450847.0;219604.0;bus
240820;0;1;9607.link:38505;99351.link:20612;23304;296562;251159_06:14:00;321224.0;331238.0;bus
