node_index,source_node_id,pos_x,pos_y,is_stop_only
194,10282180467,717145.1353940064,5372734.907722785,False
195,10282180468,716523.0006803729,5372427.813089121,False
196,10282224433,717101.6752590581,5372737.990727809,False
197,10282248026,716508.5713840486,5372405.879543853,False
198,10282694660,694191.2145056884,5353336.764802532,False
199,102830657,696435.3957592761,5354003.007234057,False
200,102831746,696248.0799901831,5353841.070582236,False
201,1028327253,717580.5852432121,5375889.447328118,False
202,1028417114,718787.9079891896,5375442.56651079,False
203,1028417161,719105.7182706906,5375484.30636575,False
204,1028417166,718836.455231592,5375436.6006489415,False
205,1028417183,718626.5025779088,5375509.753854897,False
206,1028417215,718566.7168236305,5375584.584337324,False
207,1028417230,718596.2080919659,5375521.993202262,False
208,1028417237,719265.4597335462,5375352.52190121,False
209,1028417291,718914.53059306,5375456.711995746,False
210,1028417295,719111.6713234467,5375302.465093728,False
211,1028417300,718683.3824896106,5375570.74714872,False
212,1028417328,718945.0617074292,5375413.785674122,False
213,1028417345,718905.6970857363,5375386.871068497,False
214,1028417369,718750.6473973861,5375568.343791815,False
215,1028417400,718673.4611506833,5375580.513878581,False
216,1028453126,719745.2173236837,5375130.415885626,False
217,1028453129,719097.2197237012,5375126.143222999,False
218,1028453142,718746.0513133752,5374686.870536524,False
219,1028453176,718918.3911787644,5375451.207389538,False
220,1028453184,719236.1467950431,5375526.922799774,False
221,1028453223,718946.6219141784,5375087.490357759,False
222,10287243468,735636.71393145,5360189.033932183,False
223,10287243476,735653.2387608184,5360214.946242876,False
224,102874092,732852.0057636257,5342363.171197442,False
225,10290241523,720738.8717870726,5367256.579490251,False
226,10290241524,720329.9749069491,5368744.868390918,False
227,102913176,706102.3333995915,5350811.127851332,False
228,102913183,706136.22958216,5351215.475522702,False
229,102915858,706676.1129455126,5347144.201706012,False
230,10292539178,674974.5720490041,5376236.784859049,False
231,10294026192,719151.0229307013,5366069.513625797,False
232,1029453001,718036.276565518,5376110.889229977,False
233,1029453026,718005.6016222632,5376140.190688526,False
234,1029453036,718321.7901517866,5376203.742029372,False
235,1029453041,717984.1122341882,5376104.58978032,False
236,10296917452,688325.6112470841,5388335.085313662,False
237,10300767289,697158.8988808733,5381084.585247261,False
238,10302222186,702686.5666397664,5364172.913274321,False
239,10303155406,714461.8616560422,5354262.427530136,False
240,10312497561,727759.2950212843,5366835.705320171,False
241,10316725956,715557.4446951734,5353903.780135134,False
242,1032300768,734731.9775708126,5352107.357085097,False
243,1033111918,714722.693508228,5342960.394728775,False
244,1033180497,696600.6967408501,5405198.489062419,False
245,1035407843,718549.4841778541,5377683.081867947,False
246,1035407844,718378.9320116385,5377758.221040709,False
247,1035407845,718433.2609059408,5377762.839273697,False
248,1035407846,718622.5722487335,5377763.54789008,False
249,1035543685,693522.1277468365,5402833.091218839,False
250,1035543701,692313.0027626613,5401918.436521281,False
251,1035543794,697826.8841094679,5405562.194458966,False
252,1035543989,695881.0839489591,5403268.544511241,False
253,1035544057,692376.3953030885,5401937.439052248,False
254,1035544107,698102.7272637747,5405588.538973703,False
255,1035544290,692412.2237171846,5405077.688148394,False
256,1035544454,697833.5934327431,5405580.470878612,False
257,1035633631,715559.9756022306,5353392.174880968,False
258,1037109729,677248.1863555212,5373193.739957212,False
259,1037632124,680315.1560728259,5396946.444821372,False
260,1037632153,680142.7608294964,5398187.09735349,False
261,1037632222,679762.5357420251,5398143.772339173,False
262,1037632315,680177.2126245524,5398050.80782753,False
263,1037632472,680068.1295210943,5397893.57339489,False
264,1038556693,697267.5460762684,5405052.014537553,False
265,1038556809,697234.259473903,5404521.122917446,False
266,1038556828,697347.3530669507,5405027.264556933,False
267,1038556955,697255.2701395042,5404523.032089751,False
268,1039968655,674372.7619677761,5374317.419073947,False
269,1041796428,733868.4414806627,5354039.989979458,False
270,1042630932,706250.3754367215,5370660.942025518,False
271,1042630934,706220.6248089689,5370764.678069206,False
272,1042630936,706330.7667731382,5370846.774417035,False
273,1042630942,706275.3070325642,5370654.851390102,False
274,1042630951,706258.3410082487,5370628.0468233,False
275,1042630959,706333.1544387739,5370691.048778659,False
276,1042630963,706233.9080475746,5370847.804013159,False
277,1043997492,697797.7178802496,5405326.532231597,False
278,1043997503,697804.7604937704,5405328.7398667475,False
279,1044449700,720859.8048560809,5341265.6573402295,False
280,1044461284,721721.1308591964,5341637.211816179,False
281,1045193850,692848.2964001241,5396296.381066955,False
282,1045193910,692640.1090099609,5396452.224093281,False
283,1045194047,693332.3024507604,5401758.433763885,False
284,1045194189,692033.8513665117,5401614.119572017,False
285,1045194272,695582.7379097771,5397619.989624041,False
286,1045194360,691574.4149426513,5401427.342435374,False
287,1045194362,692515.5957507977,5396573.8017522395,False
288,1045194523,692686.7094207361,5396168.146943996,False
289,1045194600,691462.542106567,5401535.270385965,False
290,1045194623,692630.0543966683,5401104.329593498,False
291,1045194741,693421.630944131,5401917.451870031,False
292,1045194812,692453.3355705969,5400934.366912049,False
293,1045194844,692515.5151038144,5401073.15105487,False
294,1045194907,693894.6503732464,5396363.063481268,False
295,1045194916,693921.1905234018,5398695.173939863,False
296,1045194946,691964.0857269317,5398317.005158897,False
297,1045194976,692633.6517950984,5400759.351510762,False
298,1045195022,692566.2935203299,5400966.669145978,False
299,1045195025,692661.3984412587,5396650.224644899,False
300,1045195035,693864.7042449235,5398416.717759868,False
301,1045195117,692412.846844367,5401172.498064969,False
302,1045195182,691928.9722608372,5401692.823704078,False
303,1045195408,692184.6461922186,5401073.405640242,False
304,1045195659,692689.6500578248,5396681.3174572,False
305,1045195706,692489.9258356688,5401141.76366469,False
306,1045195768,692286.2947606307,5401102.955229208,False
307,1045195796,692274.8338295397,5396228.379851819,False
308,1045195803,691600.1658432158,5401281.562450888,False
309,1045195834,692571.4222704977,5396193.742924636,False
310,1045195897,692543.0008722071,5401030.542256508,False
311,1045195922,692416.7830782537,5401114.914283721,False
312,1045195994,693922.0860902552,5396298.069104695,False
313,1045195998,692380.2675919686,5401162.432318152,False
314,1045196320,692630.4670373695,5400984.243037764,False
315,1045196391,692630.9299319389,5401051.903950162,False
316,1045196453,692589.4260946463,5396714.985580401,False
317,1045196513,692269.1864930829,5400884.912210706,False
318,1045196560,692628.4724203114,5401177.294850271,False
319,1045196582,693321.5574606059,5401711.504301353,False
320,1045196618,693718.7780631264,5398571.968013374,False
321,1049394233,691390.9256713975,5399965.124977472,False
322,1049394536,691655.2126608777,5399513.8696038155,False
323,105353809,692071.9476897457,5395904.062642853,False
324,105353812,691958.5250875384,5397743.7704294585,False
325,1055593973,712599.8445286676,5352073.7412535995,False
326,1055593982,712721.2811488308,5352491.5154653955,False
327,1055594020,713848.2653999219,5354421.6218898725,False
328,1055594106,711521.6541572991,5343684.578646182,False
329,10557300297,688827.7336448452,5387696.625428283,False
330,10557306619,689388.9595646695,5387034.768510416,False
331,10576585191,704499.3821942073,5356810.661123751,False
332,10576591674,704035.168929412,5356665.315469029,False
333,10579048694,692601.6892966508,5375787.225719878,False
334,10583405594,704985.6223876203,5345091.090409437,False
335,10584034258,704568.2929261511,5355737.384781567,False
336,10586454801,714618.2478975048,5353047.33617413,False
337,10586957288,699067.1510458767,5376353.149454612,False
338,10586983424,703026.503032265,5376463.491854211,False
339,10588575274,686432.0128178742,5377483.861632629,False
340,10589484673,704452.3630707203,5355292.527805928,False
341,10600925197,704216.5112689977,5363862.800381267,False
342,10600925199,704206.3080971256,5363843.414534863,False
343,10603755064,703844.7710780823,5364059.028924579,False
344,10607653034,703930.3310807985,5363606.650906082,False
345,10607653035,703887.5091747103,5363653.807451019,False
346,10613967290,703192.8530358442,5355655.961587995,False
347,1062142180,734755.1860566507,5352332.560197036,False
